,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,5.9,False,False,False,False,False,0,58,4.75,0,True,False,12.17,3,LAG_PERF,False,False,False,4.42,Healthcare,False,1.51,0,False,CAH
Value,False,False,False,18.47,False,False,False,False,False,0,54,8.62,0,False,False,34.28,4,LEAD_PERF,False,False,False,75.25,Machinery,False,7.18,0,False,CAT
Value,False,False,False,11.87,False,False,False,False,False,0,97,10.67,0,False,False,24.16,2,,False,False,False,38.95,Insurance,False,1.62,0,False,CB
Value,False,False,False,7.43,False,False,False,False,False,0,89,9.28,0,False,False,19.55,2,LAG_PERF,False,False,False,22.55,Diversified Financials,False,2.85,0,False,CBOE
Value,False,False,False,2.48,False,False,False,False,False,0,108,3.24,0,False,False,6.99,1,,False,False,False,1.2,Real Estate,False,1.27,0,False,CBRE
Value,False,False,False,2.92,False,False,False,False,False,0,108,5.06,0,False,False,13.2,0,LAG_PERF,False,False,False,6.19,Real Estate,False,5.21,0,False,CCI
Value,False,False,False,9.72,False,False,False,False,False,0,45,3.82,0,False,False,23.85,3,,False,False,False,37.69,Consumer Services,False,10.31,0,False,CCL
Value,False,False,False,7.35,False,False,False,False,False,0,105,4.73,0,False,False,13.13,0,LAG_PERF,False,False,False,6.09,Software & Services,False,1.06,0,False,CDNS
Value,False,False,False,3.29,False,False,False,False,False,0,55,3.45,0,False,False,9.14,0,,False,False,False,1.74,Technology Hardware,False,2.4,0,False,CDW
Value,False,False,False,7.64,False,False,False,False,False,0,77,7.47,0,True,False,30.53,2,LEAD_PERF,False,False,False,63.15,Chemicals,False,15.42,0,False,CE
Value,False,False,False,14.23,False,False,False,False,False,0,58,7.5,0,False,False,21.84,2,,False,False,False,30.24,Healthcare,False,0.11,0,False,CERN
Value,False,False,False,9.11,False,False,False,False,False,0,77,5.37,0,False,False,32.64,1,LEAD_PERF,False,False,False,70.19,Chemicals,False,18.16,0,False,CF
Value,False,False,False,10.18,False,False,False,False,False,0,175,10.15,0,False,False,22.21,2,,False,False,False,31.54,Banks,False,1.88,0,False,CFG
Value,False,False,False,6.53,False,False,False,False,True,0,28,6.59,0,True,False,19.66,2,LAG_PERF,False,False,False,22.91,Household Products,False,6.53,0,False,CHD
Value,False,False,False,9.49,False,False,False,False,False,0,46,5.63,0,False,False,19.83,1,LAG_PERF,False,False,False,23.41,Transportation,False,4.71,0,False,CHRW
Value,False,False,False,13.1,False,False,False,False,False,0,68,7.71,0,False,False,26.38,2,,False,False,False,47.63,Telecommunication Services,False,5.57,0,False,CHTR
Value,False,False,False,5.99,False,False,False,False,False,0,61,5.65,0,False,False,11.65,2,LAG_PERF,False,False,False,2.83,Healthcare,False,0.02,0,False,CI
